,title,artist,lyrics,sentiment
10,Firewall (feat. Lisa Marie Perkins),Absinth3,"She’s a devil
She’s running down, killing one by one
Do you remember?
She’s got a .50 cal, so you better run

She’s a liar
She’d tell you that she loved you but it wasn’t so
And all the hatred
It all built up inside her and she’s letting it go

You better run
You better hide
’Cause she’s gonna come and find you and take you for a ride

You better stop
You better think
There’s no more time to run ’cause she’s on the brink

No turning down
Don’t turn around
Just find somewhere to hide and don’t make a sound

She’s coming in
You can’t win
’Cause when she gets you in the night you won’t believe your eyes

(Firewall)
She won’t give in tonight
You better run or you will feel the

(Firewall)
She won’t give up the fight
You better hide or you will get the

(Firewall)
Empress of the night
You better watch or you will see the

(Firewall)
Her lights are shining bright
Hunt you down and you will not see her
You will not see her

[Hello?]
[I’m sorry, but your time is up]

You better run
You better hide
’Cause she’s gonna come and find you and take you for a ride

You better stop
You better think
There’s no more time to run ’cause she’s on the brink

No turning down
Don’t turn around
Just find somewhere to hide and don’t make a sound

She’s coming in
You can’t win
’Cause when she gets you in the night you won’t believe your eyes

(Firewall)
She won’t give in tonight
You better run or you will feel the

(Firewall)
She won’t give up the fight
You better hide or you will get the

(Firewall)
Empress of the night
You better watch or you will see the

(Firewall)
Her lights are shining bright
Hunt you down and you will not see her
You will not see her


",3
11,Hello,Adele,"Hello, it’s me
I was wondering if after all these years
You’d like to meet
To go over everything
They say that time’s supposed to heal ya
But I ain’t done much healing

Hello, can you hear me?
I’m in California dreaming about who
We used to be
When we were younger and free
I’ve forgotten how it felt
Before the world fell at our feet

There’s such a difference between us
And a million miles

Hello from the other side
I must have called a thousand times
To tell you I’m sorry
For everything that I’ve done
But when I call
You never seem to be home

Hello from the outside
At least I can say that I’ve tried
To tell you I’m sorry
For breaking your heart
But it don’t matter
It clearly doesn’t tear you apart
Anymore

Hello, how are you?
It’s so typical of me to talk
About myself, I’m sorry
I hope that you’re well
Did you ever make it out of that town
Where nothing ever happened?

It’s no secret that the both of us
Are running out of time

So hello from the other side
(Other side)
I must have called a thousand times
(Thousand times)
To tell you I’m sorry
For everything that I’ve done
But when I call
You never seem to be home

Hello from the outside
(Outside)
At least I can say that I’ve tried
(I’ve tried)
To tell you I’m sorry
For breaking your heart
But it don’t matter
It clearly doesn’t tear you apart
Anymore

Ooh, anymore
Ooh, anymore
Ooh, anymore
Anymore

Hello from the other side
(Other side)
I must have called a thousand times
(Thousand times)
To tell you I’m sorry
For everything that I’ve done
But when I call
You never seem to be home

Hello from the outside
(Outside)
At least I can say that I’ve tried
(I’ve tried)
To tell you I’m sorry
For breaking your heart
But it don’t matter
It clearly doesn’t tear you apart
Anymore


",4
12,Faded,Alan Walker,"You were the shadow to my light
Did you feel us?
Another star
You fade away
Afraid our aim is out of sight
Wanna see us
Alight

Where are you now?
Where are you now?
Where are you now?
Was it all in my fantasy?
Where are you now?
Were you only imaginary?

Where are you now?
Atlantis
Under the sea
Under the sea
Where are you now?
Another dream
The monster's running wild inside of me
I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded

These shallow waters never met what I needed
I'm letting go a deeper dive
Eternal silence of the sea. I'm breathing alive

Where are you now?
Where are you now?
Under the bright but faded lights
You've set my heart on fire
Where are you now?
Where are you now?

Where are you now?
Atlantis
Under the sea
Under the sea
Where are you now?
Another dream
The monster's running wild inside of me
I'm faded
I'm faded
So lost, I'm faded
I'm faded
So lost, I'm faded

",3
13,Black Velvet,Alannah Myles,"Mississippi in the middle of a dry spell
Jimmy Rogers on the Victrola up high
Mama’s dancin’ with baby on her shoulder
The sun is settin’ like molasses in the sky
The boy could sing, knew how to move, everything
Always wanting more, he’d leave you longing for

Black velvet and that little boy’s smile
Black velvet with that slow southern style
A new religion that’ll bring ya to your knees
Black velvet if you please

Up in Memphis the music’s like a heatwave
White lightning, bound to drive you wild
Mama’s baby’s in the heart of every school girl
“Love me tender” leaves ’em cryin’ in the aisle
The way he moved, it was a sin, so sweet and true
Always wanting more, he’d leave you longing for

Black velvet and that little boy’s smile
Black velvet with that slow southern style
A new religion that’ll bring ya to your knees
Black velvet if you please

Every word of every song that he sang was for you
In a flash he was gone, it happened so soon, what could
You do?

Black velvet and that little boy’s smile
Black velvet with that slow southern style
A new religion that’ll bring ya to your knees
Black velvet if you please

Black velvet and that little boy’s smile
Black velvet with that slow southern style
A new religion that’ll bring ya to your knees
Black velvet if you please
If you please, if you please, if you please…


",4
14,Butterfly in a Glass Jar,Alaska Highway,"You never gave me your strength
But I’ve always been stronger
You never gave me your love
But I’ve given you mine
You were just an illusion, my tormenting confusion
Was I ever good enough for you?

You were the butterfly in the glass jar
That I could never let go,
So I ripped your wings off,
So you couldn’t fly away, fly away from me.

(Just let me go)
(Please, just let me go)

You never gave me your strength,
Your love, your anything.
Was I just an illusion, some tormenting confusion?
Was I ever good enough for you?

You were the butterfly in the glass jar
That I could never let go,
So I ripped your wings off,
So you couldn’t fly away, fly away from me.

You were the person I could imagine
Spending the rest of my life with,
In your arms, in your arms…

I could never let you fly away
Please don’t leave me, I said
(Don’t you) don’t you go
I don’t wanna live without you
I don’t wanna die within you
You were my butterfly
You’re my butterfly

Please don’t leave me, I said
Don’t you go, please
Please don’t leave
Don’t leave me
Don’t leave me, don’t
Don’t leave me, don’t
Don’t leave, don’t you go


",4
15,Darkness In My Eyes,Alaska Highway,"People never see the other side of darkness.
There’s no fear,
The faces of those you’ve hurt, they cannot even be seen,
But you’ll never forget the one (who you meet) in the dark.

Within this place I’ve sensed no evil,
Only the absence of hurt that I had felt.
Death holds my heart and keeps me imprisoned
To shield me from another fall.

Without caution I moved towards nothing
And you have seen me somehow.
The imperfection in your mirrored reflection of a beauty
That died inside of me.

Darkness comforts me in this moment,
I’m slipping into comas of complication,
I want to embrace you, hold you.
The mind is plagued with the morbid hesitation.
Just tell me you’re suffering
And I will give you everything
Though I have nothing,
But the darkness in my eyes.
The darkness in your eyes…

You found me in this, I found you a rose… of death.
Do I want you, could you want me?
Accept my bouquet of decay.
Am I an image that comforts your fantasy
Or will this surface turn my dark reality?
Are you the one, am I the one?
The wraiths have left me.
And sun will kill us, suddenly kill us.

Darkness comforts me in this moment,
I’m slipping into comas of complication,
I want to embrace you, hold you.
The mind is plagued with the morbid hesitation.
Just tell me you’re suffering
And I will give you everything
Though I have nothing,
But the darkness in my eyes.
The darkness in your eyes…

Follow the roses down into the depths
And you’ll see what has brought you here.
The wounds of the heart, the depletion of faith,
And the darkness inside your eyes,
Darkness inside my eyes,
Darkness inside your eyes.
Inside my eyes…


",2
16,Deceiver,Alaska Highway,"Flies invade your spoiled words,
Spoken once to comfort me.
But in your game I was deceived,
And now this question I ask of you:

Can you see me behind the lids which drape your eyes,
Waiting for that moment when all you’ve worked for dies?
In that place you call a heart, can my answer dwell?
Just utter the words to release me, deceiver,
From this doubt infested cell

A contraption of seduction, you encouraged my fall
From the place that resisted you
And when I failed to ignore my heart
You exposed a wound and bled me through

(The rage inside is building now
To conquer the bringer of my fading world
Nothing can protect that slayer of love
For pain can ignite an apocalypse)

(Deceiver)

(Deceiver)

Flies invade your spoiled words
Spoken once to comfort me
But in your game I was deceived
And now this question I ask of you:

(Deceiver)

Can you see me behind the lids which drape your eyes,
Waiting for that moment when all you’ve worked for dies?
In that place you call a heart, can my answer dwell?
Just utter the words to release me, deceiver,
From this doubt infested cell

Can you see me now behind the lids which drape your eyes,
Waiting for that moment when all you’ve worked for dies?

(Deceiver)


",2
17,Definitions,Alaska Highway,"Different parts are illusion
Changes made by my mind
Attitudes are for reasons
Everyone left behind
Everyone…

Different parts are illusion
Different parts are illusion
Different parts are illusion


",3
18,Even Angels Have to Die,Alaska Highway,"Even angels have to die
With their ascension buried deeper
Our world, in time, shall become a grave
Inside there will be dirt instead of feelings

All our hearts must learn to break
For nothing beautiful lasts forever
The longing of what’s lost shall never fade
A void is left and we feel so empty

Even angels have to die
No love on earth can restrain its ending
Sadness waits to claim our fall
And mourn for love that seeks its savior

Darkness finds me in my fate
The beautiful face which may bring salvation
Souls embrace a shattering wound
Have I strength to admit my desperation?

Please save me from apathy
That drains my sympathy
Just speak those words that need to be
You can’t promise to never die

Even angels have to die
But love is worth the tears that it brings me
I’ll bleed with you ’til I am drained
Though my color may be less than perfect

Could the intent be to invade
This place where nothing dreams eternal?
Fear that you’ll be torn away
Had lead me to my own decay

This thought of wasting haunts my mind
For my heart can’t lose another angel

Please save me from apathy
That drains my sympathy
Just speak those words that need to be
You can’t promise to never die

Save me from apathy
That drains my sympathy
Just speak those words that need to be
You can’t promise to never die


",3
19,Fatal Resistance,Alaska Highway,"Vile person, leave me twisted
Your light has left the sun
Now we meet to end our hatred
The war of spell has just begun

Hope becomes so hopeless
(Tonight someone is going to die)
Your fatal resistance
(Either you or I)
Affection, infection
(Tonight someone is going to die)
(Either you or I)

Wretched corpse, you leave me wanting
The life inside of you to drain
Resurrect my dormant anger
For my pleasure is inside your pain

Hope becomes so hopeless
(Tonight someone is going to die)
Your fatal resistance
(Either you or I)
Affection, infection
(Tonight someone is going to die)
(Either you or I)

Hope becomes so hopeless
(Tonight someone is going to die)
Your fatal resistance
(Either you or I)
Affection, infection
(Tonight someone is going to die)
Hope becomes so hopeless
(Either you or I)

Your fatal resistance
(Tonight someone is going to die)
Affection, infection
(Either you or I)

(Tonight someone is going to die)
(Either you or I)
(Tonight someone is going to die)
(Tonight someone is going to die)


",1
20,Hell Bound Heart,Alaska Highway,"I want to see you chained upon the wall
Wanna see your flesh rip, tear as you fall
What would you give to touch my skin?
What would I give to know what hides within?

Inside your hell bound heart that tore me apart
Now here with me you will stay
And with your mind games I will play
Where your suffering tastes so sweet
Here you’re nothing but the victim at my feet

I want to keep you away from the peace
The one that you deprived me before I had deceased
And what reason could you give for my death?
You’re an angel killer, don’t waste your breath

It was your hell bound heart that tore me apart
Now here with me you will stay
And with your mind games I will play
When your suffering tastes so sweet
You’ll be nothing but the victim at my feet

It was your hell bound heart that tore me apart
Now here in hell I will stay
And with my mind games they will play
Where my suffering tastes so sweet
Here I’m nothing but the victim at their feet

(Nothing, nothing, nothing, nothing)


",2
21,I Believe,Alaska Highway,"I believe in what they say
Never wanting
Never needing
Never seeing
Only praying
To the one

I believe in what they say
Never wanting
Never needing
Never seeing
Only praying
To the one

I believe in what they say
Never wanting
Never needing
Never seeing
Only praying
To the one

I believe in what they say
Never wanting
Never needing
Never seeing
Only praying
To the one

To the one

To the one


",2
22,Intelligence War,Alaska Highway,"Intelligence war

Intelligence war,
An information war

Intelligence war,
An information war

Intelligence war,
An information war

An information war

Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation
Technology reclamation

Stop the networks,
And you stop the world

Intelligence war

Intelligence war

Intelligence war

Intelligence war,
An information war

Intelligence war

Intelligence war

Intelligence war

Intelligence war,
An information war

Intelligence war,
An information war


",2
23,Lust for Your Body,Alaska Highway,"An attraction to such discomfort arises from within.
And when all words are spoken this tension is released.
This beauty’s metamorphosis into a beast.

Give in to your heart, (lust for your body)
Give in to your flesh,
Give in to your skin, (lust for your body)
Give in to your sin.

Give in to your heart, (lust for your body)
Give in to your flesh,
Give in to your skin, (lust for your body)
Give in to your sin.

Can you deny what festers so passionately inside?
Slaughter the necromancer that resurrects your bride.
Can these intentions penetrate a lover’s lie?
Taste the lips of the moment and allow the soul to die.

Give in to your heart, (lust for your body)
Give in to your flesh, (lust for your body)
Give in to your skin, (lust for your body)
Give in to your sin, (lust for your body)

Give in to your heart, (lust for your body)
Give in to your flesh, (lust for your body)
Give in to your skin, (lust for your body)
Give in to your sin. (lust for your body)


",2
24,Radio Prague,Alaska Highway,"You are tuned to Radio Prague.
External service of Czech Radio.

...

...

...

This is Radio Prague,
The external service of Czech Radio.


",3
25,Seen to Run,Alaska Highway,"Dressed in rags,
Plastic bags.
I recognise you,
I know you from before.

Like slugs on their way
Across the deadly tar,
Going for your dreams
Won’t get you very far.

And is it true?
Do saints have to end up like you?
She called you a liar,
You dropped the hair dryer into the water.

I thought we’d see
That sinners end up harmless like me.
Running out of things to say,
Running out of grounds to get up every day.

The trick is to keep lying,
Put on your brightest smile.
Run towards the train,
Play your final game.

The trick is to keep lying,
Put on your brightest smile.
Run towards the train,
Play your final game.

I feel sleepy,
This is creepy.
My hands are numb.
Pile the bottles up.

In Babylon you smile,
In Babylon you never reach the top.

Is it true?
Do saints have to end up like you?
She called you a liar,
You dropped the hair dryer into the water.

I thought we’d see
That sinners end up harmless like me.
Running out of things to say,
Running out of grounds to get up every day.

(The trick is to keep lying)
Is it true?
(Put on your brightest smile)
(Run towards the train)
Do saints have to end up like you?
(Play your final game)

(The trick is to keep lying)
She called you a liar,
(Put on your brightest smile)
You dropped the hair dryer
(Run towards the train)
(Play your final game)
Into the water.

(The trick is to keep lying)
I thought we’d see
(Put on your brightest smile)
(Run towards the train)
That sinners end up harmless like me.
(Play your final game)
(The trick is to keep lying)
Running out of things to say,
(Put on your brightest smile)
Running out of grounds to get up every day.
(Run towards the train)
(Play your final game)

(Play your final game)


",4
26,Warmth,Alaska Highway,"The sound of your name upon my heart
Has left a stain.

And I know that we must say goodbye,
But without you inside my heart may die.

But I don’t want the perfect rose,
The one you say that I deserve.
All I know is that I loved you.
Hold you when you cry,
Without you I would rather die.

And I have done everything that I can do,
But I just can’t keep you.

And I don’t want the perfect rose,
The one you say that I deserve.
All I know is that I loved you.
Hold you when you cry,
Without you I would rather die.

And I am not the perfect rose,
The one I think that you deserve.
All I know is that I love you…
I love you.


",4
27,Weep With Me,Alaska Highway,"(Weep with me)
(Weep with me)

The sea will devour both you and me,
But not before I hold you one last time.
Love was my only defeat
In this city built on lies.

Weep with me before I abandon thee
(Weep with me)
And distract my view with images to erase you.
(Weep with me)
Weep with me in the depths of my reality
(just weep with me)
And reveal the pain that once was beauty.

(Sadness sleeps with me tonight)
(Sadness sleeps with me tonight)

Sadness sleeps with me tonight,
My heaven had failed me again.
(Heaven is dark)
Deep, all these cuts
(Bleeding, I’m bleeding)
That bleed from love.

Weep with me before I abandon thee
(Weep with me)
And distract my view with images to erase you.
(Weep with me)
Weep with me in the depths of my reality
(Weep with me)
And reveal the pain that once was beauty.

Was it your intent to hurt me?
Let me waste away, desert me?
Was it your hope to break me?
Let me perish, devastate me?

Weep with me before I abandon thee
(Weep with me)
And distract my view with images to erase you.
(Weep with me)
Weep with me in the depths of my reality
(Weep with me)
And reveal the pain that once was beauty.

(Weep with me, my beauty)
(Just weep with me)
(Sleep with sadness, tonight)
(Weep with me)
(Just weep with me)


",1
28,Who Can You,Alaska Highway,"Who can you share with?
(No one)
Who can you live with?
(No one)
Who can you run with?
(No one)
Who can you love?

Who can you share with?
(No one)
Who can you live with?
(No one)
Who can you run with?
(No one)
Who can you love?

(No one)
(No one)
(No one)
Who can you love?

(No one)
(No one)
(No one)
Who can you love?

Who can you love?

Who can you love?

Who can you love?


",4
29,Breaking The Broken,Alaska Highway,"How could I have been so foolish?
How could I have been so blind?
What will it take for me to find
The place where you are inside of my mind?
Within and safe,
Protected by tears.
Hiding, a cowards behind all of your fears.

I may be seen as perfect
But I still feel pain.
And all of your passions have been nothing
But a mind distracting game.

Just tell me what it is that I have done
To be a victim of hope and hated by the sun.
I find in all of this great misery,
And nothing seems to make any sense to me.

Will this be a memory, will I have ever existed?
The words you spoke, could I have resisted?
Keep all of your heart and then depart
Before the wings of an angel had been torn apart.

I may be seen as perfect
But I still feel pain.
And all of your passions have been nothing
But a mind distracting game.

Just tell me what it is that I have done
To be a victim of hope and hated by the sun.
I find in all of this great misery,
And nothing seems to make any sense to me.

I am more that what I have become,
But am naive to have believed that you were the one
To save me from this desperate state.
How my love has turned so deeply into hate?

I may be seen as perfect
But I still feel pain.
And all of your passions have been nothing
But a mind distracting game.

Just tell me what it is that I have done
To be a victim of hope and hated by the sun.
I find in all of this great misery,
Does any of this make sense to me?


",3
30,Aesthetic,Alaska Highway,"Seeking winter I have found,
Something colder in my heart.
Hope depleting as I pass,
That which falls to pretend.
Never effort to offend,
But to restrain these dreams I’m having.

I can slip away right now,
Take these thoughts upon myself.
And like the world, I may end
For there is nothing to defend.
Press my face against the wall,
Hide my eyes so you can’t see
All the damage that you’ve done to me.

Palest rain that touched my face
As I ran towards a cruel illusion.
Hold this fragile thought in vain,
Tough that future will not save us.
Sleeping hell that wakes for me.

I can slip away right now,
Take these thoughts upon myself.
And like the world, I may end
For there is nothing to defend.
Press my face against the wall,
Hide my eyes so you can’t see
All the damage that you’ve done to me.

All the damage that you’ve done to me.

I can slip away right now,
Take these thoughts upon myself.
And like the world, I may end
For there is nothing to defend.
Press my face against the wall,
Hide my eyes so you can’t see
All the damage that you’ve done to me.

I can slip away right now,
Take these thoughts upon myself.
And like the world, I may end
For there is nothing to defend.
Press my face against the wall,
Hide my eyes so you can’t see
All the damage that you’ve done to me.


",2
31,Aging,Alaska Highway,"Time had consumed me
Open liquid falls from my eye
To hope that I seek comfort
For my insignificant demise

To cloud all reason
And accept this pain
With my hands raised towards nothing
Screaming for your uncertain lingering

Aged and strayed
And I’ve lost my heart’s desire

Now I’ve made not we
This sacrifice you were
Too careless
To ever see

To this destination
So far from my mind
Omens have brought me so deep
And decayed

Aged and strayed
And I’ve lost my heart’s desire

Now I bleed not we
My sacrifice you were
Too careless
To ever see

Aged and strayed
And I’ve lost my heart’s desire

And now I bleed not we
My sarcrifice you were
Too hopeless
To ever see

In sleep I find
No sympathy
And I’ve become
So numb

In the hour of passing
To this emptiness
I circle


",3
32,As You Are,Alaska Highway,"Why do you hide your eyes from me?
There is no shame in empathy

I’m not perfect, there’s no explanation.
I’ve not come for complication.

Stakes are made so that we learn,
Not stains that lead our souls to burn.

Why do you feel this way?

Have I failed you,
Have I lead you astray?
Have you invited darkness to your side?
No matter how you’ve tried to hide,
I see and love you as you are.

Why do you run from sadness?
It comes from someplace good.
If you’ve never truly loved,
Then you’ve never truly hurt.
Does that make make you feel weak?
And have I crossed that line?

Have I failed you,
Have I lead you astray?
Have you invited darkness to your side?
No matter how you’ve tried to hide,
I see and love you as you are.

Do not hide your face from me,
Tears are a sign of God’s mercy.
As you cry, so does he.
I love you as you are…


",2
